Name,Age,Nationality,Fifa Score,Club,Value,Salary
A. Di María,29,Argentina,85,Paris Saint-Germain,€37.5M,€145K
M. Pjanić,27,Bosnia Herzegovina,85,Juventus,€43.5M,€160K
C. Marchisio,31,Italy,85,Juventus,€33M,€160K
J. Vertonghen,30,Belgium,85,Tottenham Hotspur,€28.5M,€130K
B. Matuidi,30,France,85,Juventus,€28.5M,€145K
S. Ruffier,30,France,85,AS Saint-Étienne,€24.5M,€49K
Filipe Luís,31,Brazil,85,Atlético Madrid,€25M,€81K
V. Kompany,31,Belgium,85,Manchester City,€26M,€170K
A. Barzagli,36,Italy,85,Juventus,€5M,€105K
E. Bailly,23,Ivory Coast,84,Manchester United,€35.5M,€150K
Marco Asensio,21,Spain,84,Real Madrid CF,€46M,€175K
Bernardo Silva,22,Portugal,84,Manchester City,€43.5M,€165K
A. Laporte,23,France,84,Athletic Club de Bilbao,€35.5M,€36K
D. Alli,21,England,84,Tottenham Hotspur,€43M,€115K
S. Mané,25,Senegal,84,Liverpool,€39M,€175K
Carvajal,25,Spain,84,Real Madrid CF,€32M,€195K
J. Draxler,23,Germany,84,Paris Saint-Germain,€39.5M,€120K
M. Icardi,24,Argentina,84,Inter,€42M,€105K
Morata,24,Spain,84,Chelsea,€41M,€170K
K. Koulibaly,26,Senegal,84,Napoli,€32.5M,€96K
T. Horn,24,Germany,84,1. FC Köln,€31M,€39K
Koke,25,Spain,84,Atlético Madrid,€39.5M,€84K
K. Manolas,26,Greece,84,Roma,€31.5M,€96K
S. Mustafi,25,Germany,84,Arsenal,€31.5M,€145K
Ander Herrera,27,Spain,84,Manchester United,€32M,€190K
K. Strootman,27,Netherlands,84,Roma,€35M,€105K
Pedro,29,Spain,84,Chelsea,€30.5M,€200K
R. Bürki,26,Switzerland,84,Borussia Dortmund,€26M,€69K
Bruno,33,Spain,84,Villarreal CF,€18.5M,€59K
I. Perišić,28,Croatia,84,Inter,€31.5M,€110K
E. Džeko,31,Bosnia Herzegovina,84,Roma,€28M,€115K
Willian,28,Brazil,84,Chelsea,€31.5M,€200K
S. Khedira,30,Germany,84,Juventus,€29M,€160K
R. Fährmann,28,Germany,84,FC Schalke 04,€25M,€54K
Sergio Asenjo,28,Spain,84,Villarreal CF,€25M,€46K
Juan Mata,29,Spain,84,Manchester United,€30.5M,€195K
M. Benatia,30,Morocco,84,Juventus,€23M,€145K
D. Payet,30,France,84,Olympique de Marseille,€29.5M,€60K
Falcao,31,Colombia,84,AS Monaco,€28M,€68K
L. Koscielny,31,France,84,Arsenal,€21M,€150K
G. Cahill,31,England,84,Chelsea,€21M,€160K
Dani Alves,34,Brazil,84,Paris Saint-Germain,€9M,€115K
A. Gómez,29,Argentina,84,Atalanta,€31M,€60K
Aduriz,36,Spain,84,Athletic Club de Bilbao,€11M,€38K
K. Mbappé,18,France,83,Paris Saint-Germain,€41.5M,€31K
O. Dembélé,20,France,83,FC Barcelona,€40M,€150K
N. Keïta,22,Guinea,83,RB Leipzig,€34M,€68K
J. Giménez,22,Uruguay,83,Atlético Madrid,€28.5M,€53K
G. Rulli,25,Argentina,83,Real Sociedad,€25.5M,€28K
T. Lemar,21,France,83,AS Monaco,€38.5M,€37K
João Mário,24,Portugal,83,Inter,€34M,€70K
N. Süle,21,Germany,83,FC Bayern Munich,€30.5M,€78K
Ederson,23,Brazil,83,Manchester City,€26M,€87K
Fabinho,23,Brazil,83,AS Monaco,€29.5M,€37K
M. Salah,25,Egypt,83,Liverpool,€32.5M,€135K
A. Belotti,23,Italy,83,Torino,€37M,€58K
E. Forsberg,25,Sweden,83,RB Leipzig,€31.5M,€75K
Marquinhos,23,Brazil,83,Paris Saint-Germain,€30.5M,€75K
William Carvalho,25,Portugal,83,Sporting CP,€27.5M,€21K
S. Umtiti,23,France,83,FC Barcelona,€29.5M,€135K
R. Mahrez,26,Algeria,83,Leicester City,€30.5M,€88K
V. van Dijk,25,Netherlands,83,Southampton,€27.5M,€89K
Roberto Firmino,25,Brazil,83,Liverpool,€34M,€135K
Danilo Pereira,25,Portugal,83,FC Porto,€27.5M,€18K
Vitolo,27,Spain,83,UD Las Palmas,€27M,€68K
A. Lopes,26,Portugal,83,Olympique Lyonnais,€22.5M,€60K
S. de Vrij,25,Netherlands,83,Lazio,€29M,€56K
M. Perin,24,Italy,83,Genoa,€25M,€28K
J. Matip,25,Cameroon,83,Liverpool,€26.5M,€110K
I. Gueye,27,Senegal,83,Everton,€24.5M,€115K
Iago Aspas,29,Spain,83,RC Celta de Vigo,€26M,€39K
N. Otamendi,29,Argentina,83,Manchester City,€20M,€140K
N. Matić,28,Serbia,83,Manchester United,€21M,€140K
J. Pastore,28,Argentina,83,Paris Saint-Germain,€25.5M,€100K
Parejo,28,Spain,83,Valencia CF,€25.5M,€45K
S. Kagawa,28,Japan,83,Borussia Dortmund,€26M,€75K
G. Bonaventura,27,Italy,83,Milan,€26.5M,€115K
B. Dost,28,Netherlands,83,Sporting CP,€27M,€28K
K. Walker,27,England,83,Manchester City,€24M,€130K
Oscar,25,Brazil,83,,€0,€0.00
S. N'Zonzi,28,France,83,Sevilla FC,€21M,€25K
M. Musacchio,26,Argentina,83,Milan,€27M,€105K
O. Toprak,27,Turkey,83,Borussia Dortmund,€24.5M,€66K
José Callejón,30,Spain,83,Napoli,€24.5M,€87K
Adrien Silva,28,Portugal,83,,€0,€0.00
S. Giovinco,30,Italy,83,Toronto FC,€25M,€15K
N. Gaitán,29,Argentina,83,Atlético Madrid,€25.5M,€70K
M. Mandžukić,31,Croatia,83,Juventus,€23.5M,€135K
A. Lallana,29,England,83,Liverpool,€25M,€135K
B. Höwedes,29,Germany,83,Juventus,€20M,€50K
E. Banega,29,Argentina,83,Sevilla FC,€25.5M,€27K
Rui Patrício,29,Portugal,83,Sporting CP,€17.5M,€19K
Y. Sommer,28,Switzerland,83,Borussia Mönchengladbach,€21M,€39K
M. Schneiderlin,27,France,83,Everton,€25.5M,€115K
Jonas,33,Brazil,83,SL Benfica,€16.5M,€21K
K. Gameiro,30,France,83,Atlético Madrid,€25M,€73K
L. Piszczek,32,Poland,83,Borussia Dortmund,€14.5M,€66K
E. Garay,30,Argentina,83,Valencia CF,€19M,€40K
A. Valencia,31,Ecuador,83,Manchester United,€17M,€130K
K. Schmeichel,30,Denmark,83,Leicester City,€19M,€65K
M. Dembélé,29,Belgium,83,Tottenham Hotspur,€25M,€115K
Borja Valero,32,Spain,83,Inter,€20M,€80K
L. Perrin,31,France,83,AS Saint-Étienne,€17.5M,€46K
L. Biglia,31,Argentina,83,Milan,€17.5M,€105K
Juanfran,32,Spain,83,Atlético Madrid,€14.5M,€62K
Diego López,35,Spain,83,RCD Espanyol,€6M,€19K
Santi Cazorla,32,Spain,83,Arsenal,€19.5M,€130K
J. Mascherano,33,Argentina,83,FC Barcelona,€10.5M,€155K
W. Sneijder,33,Netherlands,83,OGC Nice,€15.5M,€47K
Nani,30,Portugal,83,Lazio,€24.5M,€47K
D. De Rossi,33,Italy,83,Roma,€10.5M,€73K
José Reina,34,Spain,83,Napoli,€10.5M,€59K
Quaresma,33,Portugal,83,Beşiktaş JK,€15.5M,€67K
Y. Touré,34,Ivory Coast,83,Manchester City,€12.5M,€145K
Casillas,36,Spain,83,FC Porto,€3.5M,€10K
G. Donnarumma,18,Italy,82,Milan,€28.5M,€35K
L. Sané,21,Germany,82,Manchester City,€34.5M,€125K
T. Bakayoko,22,France,82,Chelsea,€26M,€105K
C. Tolisso,22,France,82,FC Bayern Munich,€30.5M,€98K
I. Slimani,29,Algeria,82,Leicester City,€22M,€100K
N. Fekir,23,France,82,Olympique Lyonnais,€28M,€70K
J. Seri,25,Ivory Coast,82,OGC Nice,€26M,€45K
K. Baldé Diao,22,Senegal,82,AS Monaco,€32.5M,€46K
J. Tah,21,Germany,82,Bayer 04 Leverkusen,€26M,€47K
F. Bernardeschi,23,Italy,82,Juventus,€30.5M,€110K
T. Werner,21,Germany,82,RB Leipzig,€30.5M,€68K
André Gomes,23,Portugal,82,FC Barcelona,€30M,€150K
A. Martial,21,France,82,Manchester United,€33M,€115K
L. Goretzka,22,Germany,82,FC Schalke 04,€30M,€46K
Q. Promes,25,Netherlands,82,Spartak Moscow,€28M,€76K
Lucas Vázquez,26,Spain,82,Real Madrid CF,€26M,€185K
Saúl,22,Spain,82,Atlético Madrid,€32M,€59K
Felipe,28,Brazil,82,FC Porto,€18M,€20K
C. Bacca,30,Colombia,82,Villarreal CF,€21.5M,€125K
F. Vázquez,28,Italy,82,Sevilla FC,€22.5M,€27K
M. Kovačić,23,Croatia,82,Real Madrid CF,€30M,€150K
Sergio Rico,23,Spain,82,Sevilla FC,€21.5M,€16K
Manu Trigueros,25,Spain,82,Villarreal CF,€27.5M,€43K
A. Rüdiger,24,Germany,82,Chelsea,€24.5M,€105K
F. Thauvin,24,France,82,Olympique de Marseille,€28M,€40K
S. Savić,26,Montenegro,82,Atlético Madrid,€24M,€62K
Iñigo Martínez,26,Spain,82,Real Sociedad,€24M,€37K
Roque Mesa,28,Spain,82,Swansea City,€18M,€85K
A. Florenzi,26,Italy,82,Roma,€22M,€73K
D. Klaassen,24,Netherlands,82,Everton,€27.5M,€110K
K. Bellarabi,27,Germany,82,Bayer 04 Leverkusen,€23M,€67K
R. Sterling,22,England,82,Manchester City,€29.5M,€140K
Suso,23,Spain,82,Milan,€29.5M,€110K
Deulofeu,23,Spain,82,FC Barcelona,€31M,€165K
E. Dier,23,England,82,Tottenham Hotspur,€25M,€85K
M. Rojo,27,Argentina,82,Manchester United,€21M,€130K
Lucas,24,Brazil,82,Paris Saint-Germain,€28M,€92K
H. Son,24,Korea Republic,82,Tottenham Hotspur,€28M,€95K
F. Acerbi,29,Italy,82,Sassuolo,€17M,€68K
G. Xhaka,24,Switzerland,82,Arsenal,€27.5M,€110K
Jonathan Viera,27,Spain,82,UD Las Palmas,€23M,€31K
Pizzi,27,Portugal,82,SL Benfica,€23M,€19K
Willian José,25,Brazil,82,Real Sociedad,€29M,€42K
O. Baumann,27,Germany,82,TSG 1899 Hoffenheim,€18M,€37K
G. Medel,29,Chile,82,Beşiktaş JK,€17M,€64K
Víctor Ruíz,28,Spain,82,Villarreal CF,€20M,€43K
X. Shaqiri,25,Switzerland,82,Stoke City,€28M,€85K
J. Cuadrado,29,Colombia,82,Juventus,€21.5M,€130K
C. Immobile,27,Italy,82,Lazio,€26M,€70K
Douglas Costa,26,Brazil,82,Juventus,€24M,€115K
N. Clyne,26,England,82,Liverpool,€22M,€115K
Iborra,29,Spain,82,Leicester City,€17M,€85K
K. Trapp,26,Germany,82,Paris Saint-Germain,€18.5M,€71K
V. Wanyama,26,Kenya,82,Tottenham Hotspur,€23M,€99K
Taison,29,Brazil,82,Shakhtar Donetsk,€21.5M,€1K
Marlos,29,Brazil,82,Shakhtar Donetsk,€21.5M,€1K
L. Stindl,28,Germany,82,Borussia Mönchengladbach,€23M,€56K
M. Balotelli,26,Italy,82,OGC Nice,€24.5M,€51K
A. Ramsey,26,Wales,82,Arsenal,€25.5M,€130K
W. Szczęsny,27,Poland,82,Juventus,€18M,€90K
G. Sigurðsson,27,Iceland,82,Everton,€23M,€130K
Y. Brahimi,27,Algeria,82,FC Porto,€23M,€21K
M. Arnautović,28,Austria,82,West Ham United,€22.5M,€125K
J. Henderson,27,England,82,Liverpool,€21.5M,€115K
M. Kruse,29,Germany,82,SV Werder Bremen,€22M,€47K
O. Karnezis,31,Greece,82,Watford,€13.5M,€30K
L. Fejsa,28,Serbia,82,SL Benfica,€18M,€18K
F. Muslera,31,Uruguay,82,Galatasaray SK,€13.5M,€57K
V. Ćorluka,31,Croatia,82,Lokomotiv Moscow,€15M,€54K
G. Wijnaldum,26,Netherlands,82,Liverpool,€27M,€130K
F. Fazio,30,Argentina,82,Roma,€16.5M,€73K
O. Giroud,30,France,82,Arsenal,€21.5M,€140K
B. Ivanović,33,Serbia,82,Zenit St. Petersburg,€9M,€73K
J. Hernández,29,Mexico,82,West Ham United,€22M,€135K
Beñat,30,Spain,82,Athletic Club de Bilbao,€20.5M,€35K
L. Bender,28,Germany,82,Bayer 04 Leverkusen,€20M,€64K
A. Witsel,28,Belgium,82,,€0,€0.00
C. Bravo,34,Chile,82,Manchester City,€9M,€110K
A. Begović,30,Bosnia Herzegovina,82,Bournemouth,€14M,€64K
Naldo,34,Brazil,82,FC Schalke 04,€6.5M,€48K
D. Sturridge,27,England,82,Liverpool,€23.5M,€140K
D. Rose,26,England,82,Tottenham Hotspur,€21M,€99K
C. Vela,28,Mexico,82,Real Sociedad,€22.5M,€46K
E. Viviano,31,Italy,82,Sampdoria,€13.5M,€37K
G. Castro,30,Germany,82,Borussia Dortmund,€20.5M,€72K
S. Nasri,30,France,82,Antalyaspor,€21M,€29K
A. Williams,32,Wales,82,Everton,€12.5M,€115K
S. Mandanda,32,France,82,Olympique de Marseille,€12.5M,€31K
L. Baines,32,England,82,Everton,€12.5M,€115K
A. Consigli,30,Italy,82,Sassuolo,€14M,€52K
João Moutinho,30,Portugal,82,AS Monaco,€20.5M,€48K
B. Costil,29,France,82,Girondins de Bordeaux,€15M,€46K
Raúl Albiol,31,Spain,82,Napoli,€15M,€73K
J. Hart,30,England,82,West Ham United,€14M,€110K
M. Gómez,31,Germany,82,VfL Wolfsburg,€20M,€85K
Raffael,32,Brazil,82,Borussia Mönchengladbach,€17.5M,€54K
A. Turan,30,Turkey,82,FC Barcelona,€20.5M,€170K
Fernandinho,32,Brazil,82,Manchester City,€12.5M,€130K
David Villa,35,Spain,82,New York City Football Club,€10M,€12K
S. Lichtsteiner,33,Switzerland,82,Juventus,€8.5M,€115K
R. Jarstein,32,Norway,82,Hertha BSC Berlin,€12.5M,€30K
Gabriel Jesus,20,Brazil,81,Manchester City,€31M,€115K
Nélson Semedo,23,Portugal,81,FC Barcelona,€20.5M,€125K
Gelson Martins,22,Portugal,81,Sporting CP,€25M,€20K
Malcom,20,Brazil,81,Girondins de Bordeaux,€24.5M,€47K
J. Weigl,21,Germany,81,Borussia Dortmund,€21M,€46K
D. Sánchez,21,Colombia,81,Tottenham Hotspur,€21.5M,€70K
A. Kramarić,26,Croatia,81,TSG 1899 Hoffenheim,€22M,€50K
M. Brozović,24,Croatia,81,Inter,€23M,€64K
Williams,23,Spain,81,Athletic Club de Bilbao,€24.5M,€31K
Dani García,27,Spain,81,SD Eibar,€17M,€26K
A. Christensen,21,Denmark,81,Chelsea,€23M,€86K
J. Kimmich,22,Germany,81,FC Bayern Munich,€20.5M,€81K
Bruma,22,Portugal,81,RB Leipzig,€24M,€63K
D. Berardi,22,Italy,81,Sassuolo,€24.5M,€62K
M. Sanson,22,France,81,Olympique de Marseille,€24M,€34K
A. Rabiot,22,France,81,Paris Saint-Germain,€23.5M,€77K
R. Guerreiro,23,Portugal,81,Borussia Dortmund,€24M,€58K
J. Vardy,30,England,81,Leicester City,€17M,€89K
H. Ziyech,24,Morocco,81,Ajax,€23M,€16K
M. Keane,24,England,81,Everton,€21M,€91K
Jorginho,25,Italy,81,Napoli,€22M,€71K
Héctor Bellerín,22,Spain,81,Arsenal,€21M,€91K
J. Butland,24,England,81,Stoke City,€18M,€50K
S. Zaza,26,Italy,81,Valencia CF,€21M,€44K
T. Meunier,25,Belgium,81,Paris Saint-Germain,€18.5M,€77K
Felipe Anderson,24,Brazil,81,Lazio,€24M,€57K
Rafinha,24,Brazil,81,FC Barcelona,€23.5M,€140K
Nacho Fernández,27,Spain,81,Real Madrid CF,€17.5M,€145K
J. Cillessen,28,Netherlands,81,FC Barcelona,€15M,€125K
Sergi Roberto,25,Spain,81,FC Barcelona,€19.5M,€140K
W. Ben Yedder,26,France,81,Sevilla FC,€21M,€26K
Lucas Pérez,28,Spain,81,RC Deportivo de La Coruña,€18.5M,€135K
R. Barkley,23,England,81,Everton,€24M,€105K
C. Bakambu,26,DR Congo,81,Villarreal CF,€22.5M,€45K
W. Zaha,24,Ivory Coast,81,Crystal Palace,€22.5M,€60K
Bartra,26,Spain,81,Borussia Dortmund,€18M,€61K
S. Aurier,24,Ivory Coast,81,Tottenham Hotspur,€19M,€79K
S. Coates,26,Uruguay,81,Sporting CP,€18M,€21K
G. Krychowiak,27,Poland,81,West Bromwich Albion,€17.5M,€81K
K. Kampl,26,Slovenia,81,RB Leipzig,€21M,€73K
D. Lovren,27,Croatia,81,Liverpool,€17.5M,€110K
A. Yarmolenko,27,Ukraine,81,Borussia Dortmund,€18.5M,€72K
Y. Belhanda,27,Morocco,81,Galatasaray SK,€18.5M,€71K
Mário Fernandes,26,Russia,81,CSKA Moscow,€17M,€52K
R. Rodríguez,24,Switzerland,81,Milan,€18.5M,€83K
J. Corona,24,Mexico,81,FC Porto,€23M,€17K
Mario Gaspar,26,Spain,81,Villarreal CF,€18M,€38K
Marcos Alonso,26,Spain,81,Chelsea,€17.5M,€115K
M. Götze,25,Germany,81,Borussia Dortmund,€22.5M,€63K
L. Hrádecký,27,Finland,81,Eintracht Frankfurt,€14.5M,€28K
Illarramendi,27,Spain,81,Real Sociedad,€18M,€37K
De Marcos,28,Spain,81,Athletic Club de Bilbao,€14M,€31K
C. Smalling,27,England,81,Manchester United,€17M,€120K
Iturraspe,28,Spain,81,Athletic Club de Bilbao,€17.5M,€33K
J. Wilshere,25,England,81,Arsenal,€22M,€115K
S. Rudy,27,Germany,81,FC Bayern Munich,€20M,€105K
M. Lanzini,24,Argentina,81,West Ham United,€24.5M,€95K
R. Boudebouz,27,Algeria,81,Real Betis Balompié,€20.5M,€32K
Camacho,27,Spain,81,VfL Wolfsburg,€18M,€66K
Paulinho,28,Brazil,81,FC Barcelona,€17.5M,€165K
N. Kalinić,29,Croatia,81,Milan,€18M,€84K
Giuliano,27,Brazil,81,Fenerbahçe SK,€20.5M,€80K
C. Benteke,26,Belgium,81,Crystal Palace,€22M,€75K
D. Perotti,28,Argentina,81,Roma,€18M,€84K
M. Parolo,32,Italy,81,Lazio,€13.5M,€60K
K. Mitroglou,29,Greece,81,Olympique de Marseille,€18M,€44K
M. Sakho,27,France,81,Crystal Palace,€17M,€63K
A. Rami,31,France,81,Olympique de Marseille,€12M,€35K
S. Jovetić,27,Montenegro,81,AS Monaco,€21M,€48K
S. Coleman,28,Republic of Ireland,81,Everton,€14M,€115K
S. Kjær,28,Denmark,81,Sevilla FC,€16M,€23K
Adán,30,Spain,81,Real Betis Balompié,€11.5M,€24K
M. Valbuena,32,France,81,Fenerbahçe SK,€14M,€86K
S. Mignolet,29,Belgium,81,Liverpool,€12M,€91K
D. Astori,30,Italy,81,Fiorentina,€13M,€68K
K. Mirallas,29,Belgium,81,Everton,€17.5M,€125K
Raúl García,30,Spain,81,Athletic Club de Bilbao,€17M,€32K
M. Škrtel,32,Slovakia,81,Fenerbahçe SK,€10M,€73K
T. Heaton,31,England,81,Burnley,€11M,€51K
H. Ben Arfa,30,France,81,Paris Saint-Germain,€17M,€88K
Dante,33,Brazil,81,OGC Nice,€7M,€39K
A. Gignac,31,France,81,Tigres U.A.N.L.,€16M,€84K
Gabi,33,Spain,81,Atlético Madrid,€10.5M,€62K
G. Rodríguez,33,Argentina,81,San Lorenzo de Almagro,€7M,€27K
D. Srna,35,Croatia,81,Shakhtar Donetsk,€3.8M,€1K
B. Schweinsteiger,32,Germany,81,Chicago Fire Soccer Club,€13.5M,€13K
C. Carrasso,35,France,81,Galatasaray SK,€4.2M,€34K
Moyá,33,Spain,81,Atlético Madrid,€9M,€46K
W. Rooney,31,England,81,Everton,€15.5M,€120K
P. Mertesacker,32,Germany,81,Arsenal,€10M,€110K
T. Motta,34,Italy,81,Paris Saint-Germain,€5.5M,€81K
Fernando Torres,33,Spain,81,Atlético Madrid,€11M,€68K
S. Eto'o,36,Cameroon,81,Antalyaspor,€6.5M,€22K
M. Rashford,19,England,80,Manchester United,€22M,€74K
S. Milinković-Savić,22,Serbia,80,Lazio,€20M,€52K
Y. Tielemans,20,Belgium,80,AS Monaco,€23.5M,€35K
Jemerson,24,Brazil,80,AS Monaco,€17.5M,€35K
N. Bentaleb,22,Algeria,80,FC Schalke 04,€19.5M,€42K
Alisson,24,Brazil,80,Roma,€14M,€45K
Alex Telles,24,Brazil,80,FC Porto,€16M,€15K
J. Brandt,21,Germany,80,Bayer 04 Leverkusen,€22M,€49K
K. Demirbay,23,Germany,80,TSG 1899 Hoffenheim,€19.5M,€40K
D. Rugani,22,Italy,80,Juventus,€19M,€88K
Samu Castillejo,22,Spain,80,Villarreal CF,€20M,€36K
P. Zieliński,23,Poland,80,Napoli,€20.5M,€64K
Ricardo Pereira,23,Portugal,80,FC Porto,€17M,€15K
Grimaldo,21,Spain,80,SL Benfica,€17.5M,€12K
Fred,24,Brazil,80,Shakhtar Donetsk,€19.5M,€1K
J. Hector,27,Germany,80,1. FC Köln,€14M,€42K
E. Can,23,Germany,80,Liverpool,€19.5M,€105K
S. Kolašinac,24,Bosnia Herzegovina,80,Arsenal,€15.5M,€91K
Arrizabalaga,22,Spain,80,Athletic Club de Bilbao,€15.5M,€20K
A. Pléa,24,France,80,OGC Nice,€20.5M,€41K
T. Stepanenko,27,Ukraine,80,Shakhtar Donetsk,€14M,€1K
O. Shatov,26,Russia,80,Zenit St. Petersburg,€16M,€74K
Leo Baptistao,24,Brazil,80,RCD Espanyol,€19M,€36K
M. Nastasić,24,Serbia,80,FC Schalke 04,€16.5M,€38K
Denis Suárez,23,Spain,80,FC Barcelona,€20.5M,€140K
M. Batshuayi,23,Belgium,80,Chelsea,€20M,€120K
J. Brooks,24,United States,80,VfL Wolfsburg,€17M,€57K
Eric Botteghin,29,Brazil,80,Feyenoord,€11.5M,€22K
L. Karius,24,Germany,80,Liverpool,€14M,€71K
T. Hazard,24,Belgium,80,Borussia Mönchengladbach,€19.5M,€44K
V. Germain,27,France,80,Olympique de Marseille,€16M,€42K
L. Kurzawa,24,France,80,Paris Saint-Germain,€16.5M,€69K
J. Iličić,29,Slovenia,80,Atalanta,€15M,€42K
K. Volland,24,Germany,80,Bayer 04 Leverkusen,€19M,€59K
Allan,26,Brazil,80,Napoli,€17.5M,€74K
P. Hernández,30,Chile,80,RC Celta de Vigo,€13.5M,€32K
D. Tadić,28,Serbia,80,Southampton,€15M,€98K
L. Muriel,26,Colombia,80,Sevilla FC,€18.5M,€26K
Pablo Sarabia,25,Spain,80,Sevilla FC,€18.5M,€23K
